"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Авторизация","2","0","","0"
"0","","0","Создание рецепта","2","0","","0"
"0","","0","Создание аккаунта","2","0","","0"
